"","Company","User_ID","N_Prev_Ten"
"1488","Microsoft","191175645",2
"1492","Microsoft","106192296",1
"1496","Microsoft","95305369",2
"1501","Microsoft","91817050",1
"1506","Microsoft","59741127",2
"1514","Microsoft","6227101",3
"1520","Microsoft","6227101",9
"1530","Microsoft","124812404",2
"1533","Microsoft","158626723",2
"1534","Microsoft","177515028",1
"1539","Microsoft","48673006",2
"1543","Microsoft","6321947",3
"1560","Microsoft","24358",1
"1572","Microsoft","63414273",4
"1574","Microsoft","100714765",1
"1580","Microsoft","23827092",5
"1606","Microsoft","6167570",1
"1610","Microsoft","12198281",4
"1618","Microsoft","164811647",1
"1628","Microsoft","121947669",10
"1630","Microsoft","12394907",1
"1635","Microsoft","2880111",5
"1638","Microsoft","8884628",3
"1645","Microsoft","18997078",3
"1650","Microsoft","33986070",4
"1657","Microsoft","26515260",6
"1661","Microsoft","33924370",2
"1663","Microsoft","36013606",2
"1670","Microsoft","27263355",3
"1681","Google","187915230",2
"1685","Microsoft","102946968",2
"1686","Microsoft","49118164",1
"1691","Microsoft","20849957",3
"1695","Microsoft","143993656",4
"1698","Microsoft","21104137",2
"1704","Microsoft","6276960",4
"1709","Microsoft","548796",3
"1716","Google","13567660",5
"1732","Microsoft","19140527",2
"1733","Microsoft","289251276",1
"1736","Microsoft","6982171",2
"1742","Microsoft","55127835",4
"1752","Microsoft","6703833",9
"1777","Microsoft","87900259",3
"1780","Microsoft","1170646",3
"1787","Microsoft","3708571",3
"1791","Microsoft","3011477",2
"1798","Microsoft","1769263",3
"1802","Microsoft","115927745",2
"1806","Microsoft","167572299",1
"1812","Microsoft","1622080",5
"1835","Microsoft","11986884",8
"1838","Microsoft","5093822",3
"1841","Facebook","5093822",6
"1842","Google","23091867",1
"1845","Microsoft","23091867",4
"1853","Microsoft","101285865",3
"1858","Microsoft","64507948",5
"1868","Microsoft","20451871",4
"1874","Microsoft","73883763",6
"1878","Microsoft","87612553",3
"1881","Microsoft","10237657",3
"1891","Microsoft","10340092",10
"1901","Microsoft","169556998",1
"1909","Microsoft","9596372",5
"1913","Microsoft","7883220",2
"1918","Microsoft","69527896",3
"1920","Amazon","69527896",5
"1923","Microsoft","169450597",2
"1929","Microsoft","57142876",1
"1931","Microsoft","152989546",1
"1937","Microsoft","17941297",1
"1939","Microsoft","17941297",3
"1952","Microsoft","46235362",2
"1958","Microsoft","81241607",2
"1978","Microsoft","260596625",1
"1982","Microsoft","22882656",1
"1991","Microsoft","1313005",5
"1995","Microsoft","39712760",4
"1996","Microsoft","75022997",1
"2003","Microsoft","609392",4
"2017","Microsoft","26458505",4
"2023","Microsoft","40906078",3
"2034","Microsoft","53841100",2
"2037","Microsoft","43996601",1
"2038","Amazon","43996601",2
"2040","Microsoft","125329104",1
"2057","Microsoft","163277756",2
"2059","Microsoft","163277756",4
"2073","Microsoft","17926432",2
"2078","Microsoft","2428017",3
"2083","Microsoft","368045",4
"2084","Microsoft","273617445",1
"2087","Amazon","273617445",4
"2092","Microsoft","1372059",5
"2094","Microsoft","13235667",1
"2098","Microsoft","13868015",3
"2101","Microsoft","78210009",1
"2108","Microsoft","14161254",4
"2109","Microsoft","14161254",5
"2125","Microsoft","4557037",14
"2132","Microsoft","249651735",6
"2138","Microsoft","58007780",3
"2146","Microsoft","20714429",6
"2158","Google","161479315",5
"2159","Microsoft","161479315",6
"2164","Microsoft","183022189",5
"2169","Microsoft","15466364",1
"2173","Microsoft","6796112",3
"2175","Microsoft","10955231",1
"2180","Microsoft","77613937",3
"2188","Microsoft","13268206",2
"2189","Microsoft","112738764",1
"2193","Microsoft","15365839",2
"2199","Microsoft","2188945",3
"2203","Microsoft","2017554",1
"2205","Microsoft","103477329",2
"2215","Microsoft","14242807",1
"2224","Microsoft","58372504",2
"2229","Microsoft","24741309",3
"2232","Microsoft","32316122",1
"2241","Microsoft","166500070",4
"2251","Microsoft","7182912",3
"2258","Microsoft","13202801",4
"2259","Apple","13202801",5
"2261","Microsoft","141355924",2
"2265","Microsoft","18170740",4
"2272","Microsoft","61450602",6
"2279","Microsoft","26429669",6
"2283","Microsoft","3592566",2
"2286","Microsoft","17812447",1
"2292","Microsoft","46285169",3
"2297","Microsoft","10018969",1
"2305","Microsoft","13154305",2
"2309","Microsoft","208187200",3
"2310","Microsoft","12171527",1
"2317","Microsoft","48511770",2
"2331","Microsoft","17564206",1
"2334","Microsoft","25339857",3
"2347","Microsoft","5827891",3
"2356","Microsoft","59674392",2
"2373","Microsoft","124203940",5
"2384","Amazon","5071710",4
"2385","Microsoft","31188941",1
"2386","Google","31188941",2
"2395","Microsoft","11475712",3
"2400","Microsoft","3049826",3
"2401","Microsoft","1844974",1
"2424","Microsoft","6784813",4
"2430","Google","4052230",1
"2431","Microsoft","4052230",2
"2438","Microsoft","150949402",3
"2459","Microsoft","4743231",2
"2464","Microsoft","32476362",1
"2484","Microsoft","431547666",1
"2490","Microsoft","91283134",4
"2493","Microsoft","105991646",1
"2502","Microsoft","18171894",5
"2503","Microsoft","171421547",1
"2520","Microsoft","24111379",11
"2536","Microsoft","62652854",5
"2540","Microsoft","4448507",3
"2542","Google","4448507",5
"2543","Amazon","280241",1
"2544","Google","280241",2
"2549","Microsoft","167743667",5
"2550","Microsoft","6073962",1
"2558","Microsoft","5804521",1
"2561","Microsoft","141838185",3
"2568","Microsoft","44176385",1
"2573","Microsoft","15064877",5
"2577","Amazon","74995043",1
"2584","Microsoft","211783535",1
"2592","Microsoft","63103155",3
"2602","Microsoft","229185377",1
"2607","Microsoft","76592578",5
"2611","Microsoft","1005266",2
"2614","Apple","1339616",1
"2615","Apple","1339616",2
"2617","Microsoft","1339616",4
"2619","Microsoft","20459336",2
"2623","Microsoft","8529913",1
"2627","Microsoft","4380364",3
"2631","Microsoft","1320162",4
"2646","Microsoft","1677379",2
"2649","Amazon","11153703",2
"2654","Microsoft","118134220",3
"2670","Microsoft","17068639",5
"2677","Microsoft","4349246",2
"2681","Microsoft","174439261",4
"2685","Microsoft","85845446",2
"2687","Microsoft","100282986",1
"2711","Microsoft","156376436",2
"2721","Apple","24019491",9
"2724","Microsoft","69963672",3
"2735","Microsoft","2687294",1
"2741","Microsoft","5594920",4
"2744","Microsoft","7683224",3
"2750","Microsoft","4185788",5
"2751","Microsoft","222150985",1
"2753","Microsoft","26259295",2
"2754","Microsoft","32789667",1
"2770","Microsoft","19455224",1
"2771","Microsoft","19455224",2
"2775","Microsoft","13128118",2
"2780","Microsoft","90712896",3
"2787","Microsoft","47507379",2
"2789","Microsoft","2744424",1
"2794","Microsoft","8592768",3
"2805","Microsoft","13344049",11
"2817","Microsoft","34236887",7
"2820","Microsoft","125478125",2
"2822","Microsoft","10609835",2
"2828","Microsoft","63041399",4
"2854","Microsoft","245666607",2
"2863","Microsoft","46980092",5
"2869","Microsoft","21153493",1
"2883","Microsoft","272410",8
"2888","Microsoft","10898985",3
"2893","Microsoft","26581824",1
"2900","Microsoft","54049462",3
"2910","Microsoft","12968015",1
"2914","Microsoft","15933293",1
"2918","Microsoft","7614545",2
"2919","Microsoft","7614545",3
"2923","Microsoft","17673038",4
"2934","Microsoft","16107747",4
"2938","Microsoft","34277599",1
"2948","Microsoft","37280857",1
"2950","Amazon","106466062",2
"2951","Microsoft","106466062",3
"2953","Microsoft","33606597",2
"2968","Microsoft","3568220",7
"2980","Microsoft","8159621",3
"2982","Microsoft","27195394",2
"2984","Microsoft","7466613",1
"2985","Microsoft","168788852",1
"2995","Microsoft","20630090",1
"3009","Microsoft","139211932",1
"3011","Microsoft","231163882",2
"3014","Microsoft","12540583",2
"3017","Microsoft","50477498",3
"3023","Microsoft","2221467",3
"3028","Microsoft","4763507",4
"3041","Microsoft","35054439",2
"3050","Google","97900402",6
"3057","Microsoft","20261054",3
"3060","Google","20261054",6
"3069","Microsoft","39747519",2
"3078","Microsoft","16466294",4
"3082","Microsoft","24388522",4
"3093","Microsoft","61446525",3
"3097","Microsoft","417834107",3
"3105","Microsoft","2511658",4
"3121","Microsoft","75938640",4
"3124","Microsoft","39063234",3
"3134","Microsoft","1103003",7
"3138","Microsoft","71970863",4
"3142","Microsoft","118180739",3
"3146","Microsoft","206514751",3
"3150","Microsoft","124170680",1
"3155","Microsoft","95112845",1
"3158","Microsoft","542497",3
"3162","Amazon","7994620",3
"3170","Microsoft","1800438",4
"3175","Microsoft","13416548",4
"3180","Microsoft","11414756",3
"3181","Microsoft","11414756",4
"3185","Microsoft","8193953",4
"3187","Microsoft","11519614",2
"3189","Microsoft","204379216",2
"3201","Microsoft","52258982",1
"3203","Amazon","52258982",3
"3208","Microsoft","3143303",5
"3210","Microsoft","47728797",2
"3214","Microsoft","21284815",4
"3221","Amazon","57239957",1
"3224","Microsoft","130368899",2
"3226","Microsoft","23759185",2
"3236","Microsoft","51998688",3
"3247","Microsoft","23402762",8
"3259","Microsoft","61144382",5
"3268","Microsoft","157979126",8
"3270","Microsoft","128688558",1
"3275","Microsoft","67311",3
"3287","Microsoft","36748961",12
"3304","Microsoft","52153222",4
"3310","Microsoft","526013",2
"3323","Microsoft","6585927",4
"3340","Google","34176186",2
"3342","Microsoft","34176186",4
"3343","Facebook","34176186",5
"3347","Microsoft","20235630",1
"3350","Microsoft","73925896",2
"3353","Microsoft","14373020",3
"3369","Microsoft","78582189",4
"3374","Microsoft","14283566",5
"3385","Microsoft","7767684",1
"3389","Google","7767684",5
"3397","Microsoft","4294310",5
"3400","Microsoft","769348",3
"3413","Microsoft","121652224",3
"3423","Microsoft","10052773",1
"3425","Amazon","10052773",3
"3427","Microsoft","111226644",1
"3429","Microsoft","84547586",1
"3440","Microsoft","13597982",1
"3445","Microsoft","14355309",2
"3446","Microsoft","48944057",1
"3450","Microsoft","950165",1
"3459","Microsoft","22511626",4
"3462","Microsoft","222448906",1
"3466","Microsoft","25856449",2
"3478","Microsoft","4742814",3
"3483","Microsoft","2899347",4
"3486","Microsoft","12876413",2
"3487","Apple","12876413",3
"3493","Microsoft","14697996",1
"3499","Microsoft","18039805",1
"3508","Microsoft","47423450",2
"3510","Microsoft","9340505",2
"3513","Microsoft","29212113",3
"3522","Microsoft","40995304",2
"3529","Google","744632",3
"3530","Microsoft","744632",4
"3538","Microsoft","11563695",2
"3561","Microsoft","30954775",4
"3563","Microsoft","6263742",2
"3580","Microsoft","4155691",5
"3583","Amazon","198539596",2
"3585","Microsoft","3935921",2
"3588","Microsoft","62742859",2
"3591","Microsoft","2647386",3
"3600","Microsoft","70282405",1
"3609","Microsoft","73071465",4
"3610","Microsoft","143771123",1
"3614","Microsoft","93384194",1
"3620","Microsoft","16482003",4
"3625","Microsoft","13008839",3
"3638","Microsoft","178759594",4
"3641","Microsoft","164635225",1
"3642","Microsoft","490447270",1
"3654","Microsoft","39472540",3
"3659","Microsoft","10722149",5
"3666","Microsoft","18388370",1
"3670","Microsoft","16502105",2
"3675","Microsoft","6617364",5
"3689","Microsoft","43619051",2
"3694","Microsoft","68087684",2
"3700","Microsoft","7458638",3
"3710","Microsoft","46036533",1
"3712","Microsoft","38742851",2
"3715","Microsoft","1820554",3
"3723","Microsoft","2272555",2
"3724","Microsoft","4415181",1
"3726","Microsoft","116528082",1
"3730","Microsoft","173990385",1
"3750","Microsoft","3925246",3
"3764","Microsoft","123535987",1
"3770","Microsoft","79946045",3
"3774","Microsoft","8167540",4
"3780","Microsoft","56522708",3
"3786","Microsoft","37124931",3
"3796","Microsoft","260137063",3
"3804","Microsoft","34200883",2
"3808","Microsoft","12281238",2
"3813","Microsoft","30038606",5
"3817","Microsoft","20542024",4
"3820","Microsoft","3442867",2
"3822","Microsoft","159907719",2
"3829","Microsoft","2616320",6
"3831","Microsoft","84951053",1
